Serial_No,car_name,car_price,car_driven,fuel_type,tranmiion,ownerhip,manufacture,engine,seat
1516,Audi A8 L 50 TDI Quattro Premium Plu,42,"81,250",Dieel,Automatic,1t Owner,2015,1995,5
1517,Ford Ecoport 1.5 Dieel Titanium Plu,5.25,"43,000",Dieel,Manual,1t Owner,2016,1196,5
1518,BMW X3 xDrive 20d Luxury Line,60,"19,000",Dieel,Automatic,1t Owner,2021,1498,5
1519,Ford Figo 1.2P Titanium Plu MT,3.95,"29,000",Petrol,Manual,2nd Owner,2016,2993,4
1520,MG Ator harp CVT,17.25,"2,400",Petrol,Automatic,1t Owner,2022,1796,5
1521,Jaguar XJ 3.0L LWB Ultimate,22.9,"79,004",Dieel,Automatic,2nd Owner,2012,1798,5
1522,Mercede-Benz C-Cla C 200 CGI Grand Edition,36.5,"28,000",Petrol,Automatic,1t Owner,2018,2143,5
1523,Toyota Corolla Alti VL AT,8.75,"99,300",Petrol,Automatic,2nd Owner,2015,4367,5
1524,Mercede-Benz M-Cla ML 250 CDI,21.9,"80,000",Dieel,Automatic,2nd Owner,2014,2993,4
1525,Land Rover Range Rover Vogue E 4.4 DV8,35.25,"87,002",Dieel,Automatic,2nd Owner,2013,1968,5
1526,BMW 7 erie 730Ld DPE ignature,1.30 Crore,"19,000",Dieel,Automatic,1t Owner,2021,1968,5
1527,Audi Q5 2.0 TDI Premium Plu,14.25,"94,002",Dieel,Automatic,2nd Owner,2013,4367,5
1528,Audi A6 2.0 TDI Premium Plu,14.25,"82,005",Dieel,Automatic,2nd Owner,2013,1796,5
1529,Land Rover Range Rover Vogue E 4.4 DV8,39.75,"95,004",Dieel,Automatic,1t Owner,2013,1998,5
1530,Mercede-Benz C-Cla C 200 CGI Grand Edition,36.5,"25,000",Petrol,Automatic,1t Owner,2018,1498,5
1531,BMW X1 Drive20i xLine,28.1,"68,753",Petrol,Automatic,2nd Owner,2019,1582,5
1532,Ford Ecoport 1.5 DV5 MT Titanium,4.75,"62,500",Dieel,Manual,1t Owner,2015,1950,5
1533,Hyundai Creta 1.6 CRDi AT  Plu,8.95,"85,000",Dieel,Automatic,1t Owner,2017,1498,5
1534,Mercede-Benz C-Cla Progreive C 200,49.9,"12,000",Petrol,Automatic,1t Owner,2021,1248,5
1535,Honda WR-V i-DTEC VX,6.99,"58,000",Dieel,Manual,1t Owner,2017,1248,5
1536,Maruti Baleno 1.3 Zeta,6.2,"55,500",Dieel,Manual,1t Owner,2018,1950,5
1537,Maruti Baleno 1.3 Zeta,6.25,"54,000",Dieel,Manual,1t Owner,2018,1956,5
1538,Mercede-Benz C-Cla Progreive C 200,47.9,"12,000",Petrol,Automatic,1t Owner,2021,1956,5
1539,Tata Harrier XM,12.5,"32,500",Dieel,Manual,1t Owner,2019,1086,5
1540,Tata Harrier XM,12.6,"33,500",Dieel,Manual,1t Owner,2019,1997,5
1541,Hyundai i10 Era 1.1 iTech E,2.21,"60,000",Petrol,Manual,1t Owner,2012,2523,7
1542,Land Rover Range Rover Velar R-Dynamic  Petrol MY21,85,"38,000",Petrol,Automatic,1t Owner,2020,1248,5
1543,Mahindra Bolero LX 2WD BIII,4.5,"1,20,000 ",Dieel,Manual,1t Owner,2015,998,5
1544,Maruti Vitara Brezza LDi Option,6.35,"64,000",Dieel,Manual,1t Owner,2017,1996,7
1545,Maruti Wagon R CNG LXI BIV,4,"59,000",Cng,Manual,1t Owner,2017,1451,5
1546,MG Gloter avvy 7-tr,39.65,"11,000",Dieel,Automatic,2nd Owner,2021,999,5
1547,MG Hector harp DCT,18,"12,023",Petrol,Automatic,1t Owner,2021,1969,5
1548,Renault KWID Climber 1.0 AMT BIV,4.7,"30,000",Petrol,Automatic,1t Owner,2019,0,5
1549,Volvo 90 D4 Incription BIV,44.75,"20,000",Dieel,Automatic,1t Owner,2018,1950,5
1550,MG Z EV Excluive,21.1,"38,000",Electric,Automatic,1t Owner,2020,1998,5
1551,Mercede-Benz C-Cla Progreive C 200,36.5,"16,500",Petrol,Automatic,1t Owner,2018,1950,5
1552,Mini Cooper D,18.9,"29,000",Dieel,Automatic,2nd Owner,2014,1197,5
1553,Mercede-Benz C-Cla Progreive C 220d,39,"24,000",Dieel,Automatic,2nd Owner,2020,1498,5
1554,Maruti wift LXI,4.83,"37,229",Petrol,Manual,1t Owner,2020,2993,5
1555,Honda City i DTEC VX,4.9,"1,00,000 ",Dieel,Manual,3rd Owner,2015,2179,7
1556,BMW X5 xDrive 30d,29.75,"85,000",Dieel,Automatic,2nd Owner,2015,1968,5
1557,Mahindra XUV500 W6 2WD,4.31,"90,928",Dieel,Manual,1t Owner,2013,1498,5
1558,Audi A3 35 TDI Premium Plu,25.8,"39,000",Dieel,Automatic,1t Owner,2020,1950,5
1559,Volkwagen Vento 1.5 TDI Highline AT,5,"78,000",Dieel,Automatic,1t Owner,2015,1373,7
1560,Mercede-Benz GLC Coupe 300d 4MATIC,71.5,"24,900",Dieel,Automatic,1t Owner,2021,1399,5
1561,Maruti Ertiga VXI CNG,7.25,"44,000",Cng,Manual,1t Owner,2016,1497,5
1562,Ford Figo Dieel Titanium,1.93,"86,483",Dieel,Manual,3rd Owner,2014,1997,5
1563,Honda City Edge Edition V,9,"20,000",Petrol,Manual,1t Owner,2019,1598,5
1564,Jaguar XF 2.0 Petrol Pretige,47,"7,500",Petrol,Automatic,1t Owner,2020,2755,7
1565,Renault Duter Petrol RxL,5.75,"49,000",Petrol,Manual,2nd Owner,2017,1462,7
1566,Toyota Innova Cryta 2.8 GX AT BIV,18.75,"26,000",Dieel,Automatic,1t Owner,2018,4461,7
1567,Maruti Ertiga CNG VXI,6.75,"65,000",Cng,Manual,1t Owner,2015,1197,5
1568,Toyota Land Cruier VX,1.58 Crore,"56,000",Dieel,Automatic,1t Owner,2018,1248,5
1569,Toyota Glanza G,6.06,"40,252",Petrol,Manual,1t Owner,2020,1582,5
1570,Maruti wift VDI BIV,3.23,"97,947",Dieel,Manual,2nd Owner,2014,1197,5
1571,Hyundai Creta 1.6 CRDi AT X Plu,7.16,"1,50,715 ",Dieel,Automatic,1t Owner,2015,1968,5
1572,Hyundai i10 portz,1.58,"1,02,820 ",Petrol,Manual,1t Owner,2010,1462,7
1573,koda New Laura Ambiente 2.0 TDI CR AT,2.53,"1,09,403 ",Dieel,Automatic,3rd Owner,2012,1993,5
1574,Maruti Ertiga VXI AT,8.58,"37,377",Petrol,Automatic,1t Owner,2019,1197,5
1575,Mercede-Benz C-Cla C 220d,62,"4,000",Dieel,Automatic,1t Owner,2022,1461,5
1576,Maruti wift Dzire VXI,3.67,"84,728",Petrol,Manual,2nd Owner,2015,1968,5
1577,Renault Duter 85P Dieel RxE,3.24,"53,548",Dieel,Manual,2nd Owner,2013,1497,5
1578,Audi A6 2.0 TDI,16.19,"29,397",Dieel,Automatic,1t Owner,2014,1197,5
1579,Honda City i VTEC CVT VX,7.75,"64,000",Petrol,Automatic,1t Owner,2016,1997,7
1580,Hyundai Grand i10 Ata,4.06,"30,346",Petrol,Manual,1t Owner,2016,1248,5
1581,Mahindra XUV500 W10 1.99 mHawk,10.63,"42,119",Dieel,Manual,1t Owner,2017,1396,5
1582,Maruti wift Dzire VDI,3.27,"1,20,450 ",Dieel,Manual,2nd Owner,2014,1198,5
1583,Hyundai Creta 1.4 CRDi ,8.35,"70,000",Dieel,Manual,1t Owner,2017,1991,4
1584,Honda Amaze  i-Vtech,4.4,"59,534",Petrol,Manual,2nd Owner,2015,1373,5
1585,Chevrolet Cruze LTZ AT,6.5,"90,000",Dieel,Automatic,2nd Owner,2016,2494,8
1586,Maruti Ciaz 1.4 Zeta,7.5,"63,001",Petrol,Manual,1t Owner,2017,1950,5
1587,Toyota Innova 2.5 VX (Dieel) 8 eater,13.5,"1,53,000 ",Dieel,Manual,1t Owner,2014,1197,5
1588,Mercede-Benz C-Cla Progreive C 220d,16,"65,000",Dieel,Automatic,1t Owner,2014,1462,6
1589,Hyundai Grand i10 Ata Option,4.6,"60,000",Petrol,Manual,2nd Owner,2015,1968,5
1590,Maruti XL6 Zeta,11,"17,000",Petrol,Manual,1t Owner,2021,1197,5
1591,Audi A4 2.0 TDI,13,"55,000",Dieel,Automatic,3rd Owner,2013,1997,7
1592,Hyundai i20 Petrol Ata Option,7.9,"24,000",Petrol,Manual,1t Owner,2019,1298,5
1593,Mahindra XUV500 W10 1.99 mHawk,12,"1,02,000 ",Dieel,Manual,1t Owner,2016,1199,5
1594,Maruti wift 1.3 VXi,3.2,"40,000",Petrol,Manual,1t Owner,2010,999,7
1595,Tata Tiago 1.2 Revotron XM,3.05,"92,195",Petrol,Manual,1t Owner,2016,1598,5
1596,Renault Triber RXL EAY-R AMT,6.65,"13,780",Petrol,Automatic,1t Owner,2020,1798,5
1597,koda Rapid 1.6 MPI AT Ambition BIV,9.75,"24,700",Petrol,Automatic,1t Owner,2019,1199,5
1598,koda Octavia 1.8 TI AT tyle,19.5,"41,000",Petrol,Automatic,1t Owner,2019,1582,5
1599,Honda Jazz V CVT,6.8,"18,000",Petrol,Automatic,2nd Owner,2017,1373,5
1600,Hyundai Creta 1.6 CRDi AT X Plu,12.25,"7,000",Dieel,Automatic,1t Owner,2016,1248,5
1601,Maruti Ciaz 1.4 AT Alpha,9.5,"39,600",Petrol,Automatic,1t Owner,2018,1197,5
1602,Maruti wift VDI BIV,6.9,"39,500",Dieel,Manual,1t Owner,2018,2755,7
1603,Maruti wift Dzire AMT ZXI Plu,8.75,"11,800",Petrol,Automatic,1t Owner,2020,1969,5
1604,Toyota Fortuner 2.8 2WD MT BIV,28.05,"77,000",Dieel,Manual,2nd Owner,2017,2982,7
1605,Volvo 60 D4 KINETIC,16.8,"99,000",Dieel,Automatic,1t Owner,2017,1497,5
1606,Toyota Fortuner 4x2 Manual,16.1,"1,77,000 ",Dieel,Manual,1t Owner,2014,1497,5
1607,Kia elto HTX G,13.9,"43,000",Petrol,Manual,1t Owner,2019,1995,5
1608,Mahindra XUV300 W8 Dieel BIV,12.6,"40,000",Dieel,Manual,1t Owner,2019,1968,5
1609,BMW X1 Drive 20d xLine,32.5,"65,000",Dieel,Automatic,1t Owner,2019,1248,5
1610,Audi A3 35 TDI Premium Plu,25.8,"39,000",Dieel,Automatic,1t Owner,2020,1497,7
1611,Maruti Vitara Brezza ZDi,9.8,"48,000",Dieel,Manual,1t Owner,2018,1582,5
1612,Mahindra Marazzo M2 BIV,10.25,"77,000",Dieel,Manual,1t Owner,2019,1493,7
1613,Hyundai Creta 1.6 CRDi X Plu,10.25,"52,000",Dieel,Manual,1t Owner,2018,1498,7
1614,Mahindra TUV 300 T10,9.7,"27,000",Dieel,Manual,1t Owner,2018,1497,5
1615,Honda BR-V i-DTEC V MT,9.65,"47,000",Dieel,Manual,1t Owner,2018,1498,5
1616,Tata Nexon 1.5 Revotorq XZ Plu,9.55,"42,000",Dieel,Manual,2nd Owner,2019,1591,5
1617,Honda WR-V i-DTEC VX,9.3,"42,000",Dieel,Manual,1t Owner,2018,1598,5
1618,Hyundai Creta 1.6 VTVT X Plu,8.95,"48,000",Petrol,Manual,1t Owner,2016,1198,5
1619,Maruti X4  Cro DDi 320 Zeta,8.55,"59,000",Dieel,Manual,1t Owner,2017,1493,7
1620,Tata Nexon 1.2 Revotron XM,8.35,"27,000",Petrol,Manual,1t Owner,2019,999,7
1621,Mahindra TUV 300 T8,8,"44,000",Dieel,Manual,1t Owner,2016,1248,7
1622,Renault Triber RXZ EAY-R AMT,8,"5,000",Petrol,Automatic,1t Owner,2021,1498,5
1623,Maruti Ertiga ZDI,7.4,"78,000",Dieel,Manual,1t Owner,2013,1497,7
1624,Ford Ecoport 1.5 TDCi Titanium Plu BE BIV,7,"57,000",Dieel,Manual,1t Owner,2016,999,5
1625,Honda Mobilio V Option i-VTEC,6.05,"48,000",Petrol,Manual,2nd Owner,2014,1498,5
1626,Ford Ecoport 1.0 Ecoboot Titanium Optional,5.9,"56,000",Petrol,Manual,1t Owner,2014,1461,5
1627,Volkwagen Vento 1.5 TDI Highline,5.5,"15,000",Dieel,Manual,1t Owner,2013,1497,5
1628,Renault Duter 110P Dieel RXZ Optional with Nav,5.65,"77,000",Dieel,Manual,2nd Owner,2012,2179,5
1629,Honda City i-VTEC V,8.5,"60,000",Petrol,Manual,1t Owner,2018,1198,5
1630,Land Rover Range Rover Evoque 2.2L Pure,20,"65,000",Dieel,Automatic,2nd Owner,2013,1199,5
1631,Honda Jazz X,3.9,"61,985",Petrol,Manual,1t Owner,2012,1197,5
1632,Honda Amaze V Petrol BIV,8.2,"19,000",Petrol,Manual,1t Owner,2019,1199,5
1633,Maruti wift Dzire VXI 1.2,7.5,"30,000",Petrol,Manual,1t Owner,2019,1197,5
1634,Honda Jazz 1.2  i VTEC,7,"41,000",Petrol,Manual,1t Owner,2018,1197,5
1635,Hyundai Grand i10 Nio portz,6.75,"6,834",Petrol,Manual,1t Owner,2020,1591,5
1636,Maruti wift Dzire VXI,3.7,"1,12,160 ",Petrol,Manual,1t Owner,2013,1462,5
1637,Hyundai Creta 1.6 X Automatic,11,"16,118",Petrol,Automatic,1t Owner,2018,1461,5
1638,Maruti Ciaz Alpha,9.9,"47,000",Petrol,Manual,1t Owner,2020,1598,5
1639,Renault Duter 110P Dieel RxZ,4.2,"80,000",Dieel,Manual,2nd Owner,2012,1462,5
1640,koda Rapid 1.6 MPI Active BIV,8.93,"24,000",Petrol,Manual,1t Owner,2020,998,5
1641,Maruti Ciaz Alpha Automatic BIV,8.65,"46,000",Petrol,Automatic,1t Owner,2018,1197,5
1642,Maruti Baleno R 1.0 Petrol,7.85,"30,000",Petrol,Manual,1t Owner,2017,1197,5
1643,Hyundai i20 Active 1.2 X,7.65,"30,000",Petrol,Manual,1t Owner,2017,1396,5
1644,Maruti wift Dzire ZXI 1.2,7.55,"31,000",Petrol,Manual,1t Owner,2017,1248,5
1645,Hyundai Elite i20 2018 Dieel Ata Option,7.5,"46,000",Dieel,Manual,1t Owner,2018,1199,5
1646,Maruti Baleno 1.3 Zeta,7.43,"44,000",Dieel,Manual,1t Owner,2016,1498,5
1647,Honda Jazz V,7.3,"40,000",Petrol,Manual,1t Owner,2019,1197,5
1648,Honda City i DTec ,7.05,"39,000",Dieel,Manual,1t Owner,2016,1197,5
1649,Hyundai i20 Ata 1.2,4.5,"63,759",Petrol,Manual,1t Owner,2013,1199,5
1650,Hyundai i20 Active  Petrol,6.99,"29,000",Petrol,Manual,2nd Owner,2018,1197,5
1651,Honda Jazz 1.2 V i VTEC,6.95,"42,000",Petrol,Manual,1t Owner,2017,1197,5
1652,Hyundai i20 portz 1.2,6.75,"37,000",Petrol,Manual,1t Owner,2017,1497,5
1653,Maruti wift VXI,6.75,"40,000",Petrol,Manual,1t Owner,2019,1199,5
1654,Honda City i VTEC V,6.45,"33,000",Petrol,Manual,1t Owner,2014,998,5
1655,Honda Jazz 1.2  i VTEC,6.4,"26,000",Petrol,Manual,1t Owner,2018,1373,5
1656,Hyundai Venue X Plu Turbo DCT DT,11.95,"24,000",Petrol,Automatic,1t Owner,2021,1497,7
1657,Maruti Ciaz VXi,4.5,"1,56,596 ",Petrol,Manual,1t Owner,2015,1798,5
1658,Honda BR-V i-VTEC VX MT,5.8,"98,778",Petrol,Manual,1t Owner,2017,1197,5
1659,koda uperb Elegance 1.8 TI AT,8,"1,45,000 ",Petrol,Automatic,2nd Owner,2010,1968,5
1660,Hyundai i20 1.2 Ata Option,7.9,"26,000",Petrol,Manual,1t Owner,2018,1197,5
1661,koda Octavia 2.0 TDI AT tyle Plu,17.5,"60,000",Dieel,Automatic,2nd Owner,2017,1199,5
1662,Maruti Baleno 1.2 Zeta,5.6,"5,60,000 ",Petrol,Manual,1t Owner,2017,1199,5
1663,Honda Jazz 1.2 VX i VTEC,6.35,"45,000",Petrol,Manual,1t Owner,2017,1598,5
1664,Tata Tiago XZA,6.25,"27,000",Petrol,Automatic,1t Owner,2019,1798,5
1665,koda Rapid 1.6 MPI AT Ambition BIV,8.6,"43,000",Petrol,Automatic,1t Owner,2018,1968,5
1666,Toyota Corolla Alti GL MT,9.9,"37,000",Petrol,Manual,1t Owner,2015,1197,5
1667,Audi Q3 2.0 TDI Quattro Premium Plu,19.9,"46,000",Dieel,Automatic,1t Owner,2014,1199,5
1668,Hyundai i10 portz AT,2.8,"51,366",Petrol,Automatic,1t Owner,2011,1497,5
1669,Honda Jazz 1.2 V AT i VTEC,6.3,"77,331",Petrol,Automatic,1t Owner,2017,1984,5
1670,Honda City i VTEC V,6.3,"77,783",Petrol,Manual,1t Owner,2016,1493,7
1671,koda uperb LK 2.0 TDI AT,22.5,"44,000",Dieel,Automatic,1t Owner,2016,1198,5
1672,Mahindra TUV 300 T10 AMT,6.25,"56,276",Dieel,Automatic,2nd Owner,2018,1248,5
1673,Honda Brio V MT,2.9,"44,408",Petrol,Manual,2nd Owner,2012,999,5
1674,Tata Manza Aqua Quadrajet,1.5,"80,000",Dieel,Manual,1t Owner,2010,1368,5
1675,Volkwagen Ameo 1.0 MPI Highline Plu,6.1,"20,000",Petrol,Manual,1t Owner,2019,2198,7
1676,Jeep Compa 1.4 Limited Opt DCT,23.9,"19,000",Petrol,Automatic,1t Owner,2021,1462,5
1677,Ford Endeavour 2.2 Titanium AT 4X2,27,"73,500",Dieel,Automatic,1t Owner,2019,1248,5
1678,Maruti Ciaz Delta Automatic BIV,8.1,"28,783",Petrol,Automatic,1t Owner,2019,1422,5
1679,Maruti Vitara Brezza ZDi,9.75,"43,000",Dieel,Manual,1t Owner,2018,1197,5
1680,koda Fabia 1.4 TDI Claic,1.5,"1,17,500 ",Dieel,Manual,2nd Owner,2010,1198,5
1681,Maruti wift Dzire VXi AT,4.5,"46,352",Petrol,Automatic,1t Owner,2012,1197,5
1682,Volkwagen Ameo 1.2 MPI Comfortline Plu,4.4,"84,123",Petrol,Manual,1t Owner,2017,796,5
1683,Hyundai i20 Ata Option BIV,7.8,"22,773",Petrol,Manual,1t Owner,2019,1199,5
1684,Maruti Alto 800 LXI,3,"20,000",Petrol,Manual,2nd Owner,2017,2143,5
1685,Chevrolet Beat LT,1.75,"77,075",Petrol,Manual,3rd Owner,2011,999,5
1686,Mercede-Benz GLC Progreive 220d,43,"38,000",Dieel,Automatic,1t Owner,2018,2143,5
1687,Renault KWID 1.0 RXT,2.1,"70,000",Petrol,Manual,1t Owner,2016,1242,5
1688,Mercede-Benz GLA Cla 200 d port,20.5,"40,000",Dieel,Automatic,1t Owner,2016,1197,5
1689,Fiat Palio 1.2 ELX,"60,000","20,000",Petrol,Manual,1t Owner,2002,796,5
1690,Hyundai Grand i10 Magna,3.85,"60,000",Petrol,Manual,1t Owner,2016,998,5
1691,Maruti Alto LXi,1.85,"19,521",Petrol,Manual,1t Owner,2008,2393,7
1692,Maruti Alto K10 VXI AMT,3.8,"19,800",Petrol,Automatic,2nd Owner,2017,1364,5
1693,Toyota Innova Cryta 2.4 G MT,19.75,"50,000",Dieel,Manual,1t Owner,2019,1497,5
1694,Toyota Etio VXD,5.85,"50,000",Dieel,Manual,1t Owner,2012,1493,7
1695,Honda City i-VTEC VX,10.5,"37,000",Petrol,Manual,1t Owner,2019,1498,5
1696,Mahindra TUV 300 T10,8,"40,000",Dieel,Manual,1t Owner,2019,1497,5
1697,Honda WR-V i-DTEC ,8.25,"10,700",Dieel,Manual,1t Owner,2017,1197,5
1698,Honda City i VTEC V,6.1,"31,800",Petrol,Manual,1t Owner,2014,1199,5
1699,Maruti Baleno 1.2 Zeta,5.79,"32,400",Petrol,Manual,1t Owner,2016,1197,5
1700,Honda Amaze VX Petrol,7.85,"4,700",Petrol,Manual,1t Owner,2020,1248,5
1701,Hyundai Grand i10 1.2 Kappa portz BIV,5.25,"33,500",Petrol,Manual,1t Owner,2018,1582,5
1702,Maruti wift Dzire VDI,6.99,"54,800",Dieel,Manual,1t Owner,2018,998,5
1703,Hyundai Verna CRDi 1.6 EX,7.99,"44,000",Dieel,Manual,1t Owner,2017,1199,5
1704,Maruti Wagon R VXI B IV,4.15,"19,000",Petrol,Manual,1t Owner,2014,1197,5
1705,Honda Jazz VX CVT,7.89,"22,000",Petrol,Automatic,1t Owner,2019,1199,5
1706,Hyundai i20 portz,7.85,"12,900",Petrol,Manual,1t Owner,2020,998,5
1707,Honda Amaze V CVT Petrol BIV,7.8,"22,700",Petrol,Automatic,1t Owner,2019,1086,5
1708,Maruti Zen Etilo VXI BIV,1.89,"69,000",Petrol,Manual,2nd Owner,2010,1197,5
1709,Hyundai antro Xing GL Plu,2.69,"60,000",Petrol,Manual,1t Owner,2012,1497,5
1710,Hyundai i20 portz,9,"9,500",Petrol,Manual,1t Owner,2020,1497,5
1711,Honda City i-VTEC V,9.8,"15,000",Petrol,Manual,1t Owner,2021,2393,7
1712,Kia elto HTK Plu G,12.6,"19,000",Petrol,Manual,1t Owner,2020,1196,5
1713,Toyota Innova Cryta 2.4 ZX 7 TR AT,30.5,"3,500",Dieel,Automatic,1t Owner,2022,998,5
1714,Ford Figo Petrol ZXI,1.9,"81,721",Petrol,Manual,1t Owner,2010,1196,5
1715,Maruti Zen Etilo LXI B IV,2.1,"1,09,656 ",Petrol,Manual,1t Owner,2012,998,5
1716,Ford Figo Petrol ZXI,1.95,"87,955",Petrol,Manual,1t Owner,2012,1197,5
1717,Maruti Alto K10 VXI AMT,3.3,"50,000",Petrol,Automatic,1t Owner,2015,2993,5
1718,Maruti wift Dzire AMT ZXI Plu,8,"12,990",Petrol,Automatic,1t Owner,2019,2987,7
1719,BMW 5 erie 530d M port,29.99,"75,099",Dieel,Automatic,1t Owner,2014,1498,5
1720,Mercede-Benz GL-Cla 350 CDI Luxury,14.5,"1,20,000 ",Dieel,Automatic,1t Owner,2010,1197,5
1721,koda Rapid 1.5 TDI AT Elegance Black Package,5.95,"70,000",Dieel,Automatic,2nd Owner,2015,1330,5
1722,Hyundai i20 Ata,2.5,"90,000",Petrol,Manual,2nd Owner,2009,1591,5
1723,Renault Duter RX Turbo CVT,12.5,"10,000",Petrol,Automatic,2nd Owner,2021,1598,5
1724,Hyundai Creta 1.6 X Automatic,12.75,"44,000",Petrol,Automatic,1t Owner,2018,1198,5
1725,koda Rapid Ultima 1.6 MPI AT Elegance,6.89,"29,500",Petrol,Automatic,1t Owner,2013,1493,7
1726,Honda Brio V MT,3.15,"81,200",Petrol,Manual,1t Owner,2013,1498,5
1727,Mahindra TUV 300 mHAWK100 T8 AMT,7,"50,000",Dieel,Automatic,1t Owner,2016,1199,5
1728,Volkwagen Vento 1.5 TDI Highline AT,6.1,"1,41,383 ",Dieel,Automatic,1t Owner,2016,1582,5
1729,Honda Amaze VX CVT Petrol BIV,8,"34,392",Petrol,Automatic,1t Owner,2019,1197,5
1730,Hyundai Verna X CRDi AT,6,"90,000",Dieel,Automatic,1t Owner,2013,1998,5
1731,Hyundai Grand i10 Magna,3.9,"47,681",Petrol,Manual,1t Owner,2014,1086,5
1732,Mini Cooper Countryman Cooper ,40.99,"25,900",Petrol,Automatic,1t Owner,2019,993,5
1733,Hyundai antro Xing GL,1.55,"1,20,000 ",Petrol,Manual,3rd Owner,2009,1197,5
1734,Maruti Zen LXI,"99,000","68,952",Petrol,Manual,2nd Owner,2003,1497,5
1735,Hyundai i10 Ata,3.35,"41,525",Petrol,Manual,2nd Owner,2011,1353,5
1736,Tata Altroz XZ Dieel,8.9,"15,000",Dieel,Manual,1t Owner,2021,1956,5
1737,Kia elto GTX DCT,18.25,"11,000",Petrol,Automatic,1t Owner,2021,1498,5
1738,Jeep Compa 2.0 Limited,19.5,"29,990",Dieel,Manual,1t Owner,2019,1493,5
1739,Honda City ZX CVT,14.5,"25,000",Petrol,Automatic,1t Owner,2020,1498,5
1740,Hyundai Verna X AT Dieel,15,"20,000",Dieel,Automatic,1t Owner,2022,1498,5
1741,Ford Figo 1.5D Bae MT,4,"90,000",Dieel,Manual,2nd Owner,2016,1497,5
1742,Honda WR-V i-DTEC VX,8.75,"80,000",Dieel,Manual,1t Owner,2018,2179,8
1743,Honda City i VTEC CVT VX,8.5,"50,000",Petrol,Automatic,2nd Owner,2016,1798,5
1744,Mahindra corpio LE BIV,4.8,"90,000",Dieel,Manual,2nd Owner,2010,1197,5
1745,Toyota Corolla Alti G AT,9.26,"70,000",Petrol,Automatic,2nd Owner,2015,999,5
1746,Maruti Igni Delta AMT,6,"20,000",Petrol,Automatic,1t Owner,2020,796,5
1747,koda Rapid 1.0 TI tyle AT,9.9,"25,000",Petrol,Automatic,1t Owner,2018,1968,5
1748,Maruti Alto LXi,"45,000","60,000",Petrol,Manual,2nd Owner,2006,1497,5
1749,Audi Q3 35 TDI Quattro Premium,22.05,"56,000",Dieel,Automatic,1t Owner,2015,1496,5
1750,Honda City i VTEC CVT VX,8.5,"53,000",Petrol,Automatic,1t Owner,2016,1968,5
1751,Ford Ecoport port Petrol,9.7,"10,000",Petrol,Manual,1t Owner,2020,2393,7
1752,Audi A4 2.0 TDI Multitronic,10.5,"1,10,000 ",Dieel,Automatic,1t Owner,2012,1598,5
1753,Toyota Innova Cryta 2.4 ZX MT BIV,22,"99,990",Dieel,Manual,1t Owner,2018,1995,5
1754,koda Rapid 1.6 MPI Elegance Plu Black Package,4.2,"68,000",Petrol,Manual,2nd Owner,2014,1197,5
1755,BMW 5 erie 520d Modern Line,21,"68,500",Dieel,Automatic,4th Owner,2014,999,5
1756,Maruti wift ZXi BIV,5.75,"50,599",Petrol,Manual,2nd Owner,2015,1497,5
1757,Volkwagen Polo 1.0 MPI Comfortline,4.85,"54,431",Petrol,Manual,2nd Owner,2015,1498,5
1758,Honda City i-VTEC CVT VX,9.5,"65,855",Petrol,Automatic,1t Owner,2019,0,5
1759,Ford Ecoport 1.5 DV5 MT Titanium,4.85,"1,13,706 ",Dieel,Manual,2nd Owner,2014,2523,8
1760,Tata Nexon EV Prime XZ Plu LUX,14.5,"40,000",Electric,Automatic,1t Owner,2020,1497,8
1761,Mahindra corpio EX,5.5,"1,00,000 ",Dieel,Manual,2nd Owner,2012,1599,5
1762,Mahindra Marazzo M6 Plu 8tr,14.85,"36,700",Dieel,Manual,1t Owner,2021,2393,7
1763,Hyundai Verna 1.6 i AB,2.5,"40,000",Petrol,Manual,2nd Owner,2009,2755,7
1764,Toyota Innova Cryta 2.4 VX MT,24.5,"50,000",Dieel,Manual,1t Owner,2020,1197,5
1765,Toyota Innova Cryta 2.8 ZX AT BIV,26.5,"50,000",Dieel,Automatic,1t Owner,2019,2987,7
1766,Hyundai Grand i10 Nio portz,6,"40,000",Petrol,Manual,1t Owner,2019,1199,5
1767,Mercede-Benz GL 350d 4MATIC,65,"1,35,000 ",Dieel,Automatic,1t Owner,2018,1968,5
1768,Honda Jazz 1.2 V i VTEC,6.1,"40,000",Petrol,Manual,1t Owner,2016,1591,5
1769,Audi A6 35 TDI,33,"15,000",Dieel,Automatic,1t Owner,2016,2987,5
1770,Hyundai Creta 1.6 X Automatic,10.35,"39,000",Petrol,Automatic,1t Owner,2016,1364,5
1771,Mercede-Benz GLE 350d,47.5,"60,000",Dieel,Automatic,2nd Owner,2016,2755,7
1772,Toyota Etio GD,3.2,"1,20,000 ",Dieel,Manual,4th Owner,2013,2143,5
1773,Toyota Innova Cryta 2.8 ZX AT BIV,25.75,"60,000",Dieel,Automatic,1t Owner,2019,1995,5
1774,Mercede-Benz GLE 250d,49.5,"45,000",Dieel,Automatic,1t Owner,2017,2179,7
1775,BMW X1 Drive 20d xLine,36.75,"23,000",Dieel,Automatic,1t Owner,2019,1198,6
1776,Mahindra XUV500 W11 AT BIV,17,"46,952",Dieel,Automatic,1t Owner,2019,1598,5
